Dutch,English
goed,good
slecht,bad
hallo,hello
dank u,thank you
alsjeblieft,please
ja,yes
nee,no
misschien,maybe
waar,true
onwaar,false
morgen,tomorrow
gisteren,yesterday
vandaag,today
welkom,welcome
tot ziens,goodbye
spijt me,sorry
geen probleem,no problem
uitstekend,excellent
natuurlijk,of course
praten,talk
eten,eat
drinken,drink
kopen,buy
verkopen,sell
lopen,walk
rennen,run
slapen,sleep
lezen,read
schrijven,write
zitten,sit
staan,stand
werken,work
spelen,play
leren,learn
luisteren,listen
beginnen,begin
eindigen,end
helpen,help
vinden,find
geven,give
nemen,take
wachten,wait
zoeken,search
rijden,drive
kijken,watch
horen,hear
zeggen,say
weten,know
denken,think
doen,do
brengen,bring
krijgen,get
vergeten,forget
herinneren,remember
willen,want
moeten,must
kunnen,can
zullen,shall
houden,hold
vragen,ask
antwoorden,answer
lachen,laugh
huilen,cry
proberen,try
betalen,pay
openen,open
sluiten,close
komen,come
gaan,go
zien,see
voelen,feel
winnen,win
verliezen,lose
groot,big
klein,small
lang,long
kort,short
hoog,high
laag,low
warm,hot
koud,cold
snel,fast
traag,slow
oud,old
nieuw,new
jong,young
duur,expensive
goedkoop,cheap
mooi,beautiful
lelijk,ugly